session_key,circuit_short_name,country_name,location
9472,Sakhir,Bahrain,Sakhir
9480,Jeddah,Saudi Arabia,Jeddah
9488,Melbourne,Australia,Melbourne
9496,Suzuka,Japan,Suzuka
9673,Shanghai,China,Shanghai
9507,Miami,United States,Miami
9515,Imola,Italy,Imola
9523,Monte Carlo,Monaco,Monaco
9531,Montreal,Canada,Montréal
9539,Catalunya,Spain,Barcelona
9550,Spielberg,Austria,Spielberg
9558,Silverstone,Great Britain,Silverstone
9566,Hungaroring,Hungary,Budapest
9574,Spa-Francorchamps,Belgium,Spa-Francorchamps
9582,Zandvoort,Netherlands,Zandvoort
9590,Monza,Italy,Monza
9598,Baku,Azerbaijan,Baku
9606,Singapore,Singapore,Marina Bay
9617,Austin,United States,Austin
9625,Mexico City,Mexico,Mexico City
9636,Interlagos,Brazil,São Paulo
9644,Las Vegas,United States,Las Vegas
9655,Lusail,Qatar,Lusail
9662,Yas Marina Circuit,United Arab Emirates,Yas Island
